id,id_kompetisi,capaian,skala_kompetisi,kategori_peserta,waktu_selesai,last_update,waktu_mulai,nama_kegiatan,jenis_kegiatan,lembaga_penyelenggara,kategori_capaian,kategori_penghargaan,is_pusprenas,status_validasi
1,6E0C8A99-1FC9-416C-A37F-DF5DD58E9BC5,Peserta,Lokal,Kelompok,2021-03-21,2023-12-22,2021-02-10,Liga PKM ITS,Lomba Mandiri atau Umum,Institut Teknologi Sepuluh Nopember,Apresiasi,Apresiasi,0,2
2,EC53B5E7-CDCF-4646-967F-EE21E9740C5A,Juara 3/perunggu,Nasional,Kelompok,2021-03-20,2023-12-22,2021-01-15,Kategori Poster National Paper Competition for Dies Natalis 23rd FTP Universitas Brawijaya,Lomba Mandiri atau Umum,Universitas Brawijaya,Juara,Juara 3,0,2
3,1DED383E-77E3-4707-A135-EFA7BA9951C1,Peserta,Nasional,Kelompok,2021-06-19,2023-12-22,2021-05-05,Lomba Karya Tulis Ilmiah Nasional (LKTIN),Lomba Mandiri atau Umum,Himpunan Mahasiswa Teknik Sipil Universitas Veteran Bangun Nusantara Sukoharjo,Apresiasi,Apresiasi,0,2
4,4703BD26-1B72-416E-8141-FCBD0C9ECEEF,Juara 3/perunggu,Nasional,Kelompok,2021-04-06,2023-12-22,2021-02-24,Essay Competition of PPI Musamus III,Lomba Mandiri atau Umum,UKM Penalaran dan Penelitian Ilmiah Universitas Musamus,Juara,Juara 3,0,2
5,039A346B-AD60-470E-AE69-FF1B5FD4E3C9,Peserta,Nasional,Kelompok,2021-11-07,2023-12-22,2021-05-24,Kompetisi Jembatan Indonesia ke-16 (KJI XVI),Kompetisi Jembatan Indonesia (KJI),Puspresnas,Apresiasi,Apresiasi,1,2
6,614CB4AA-379B-46E5-9891-FFA68BE0AF09,Proposal didanai,Nasional,Kelompok,2021-09-20,2023-12-22,2021-05-14,Pekan Kreativitas Mahasiswa Kewirausahaan,Program Kreativitas Mahasiswa (PKM),Dirjen Kemeristekdikti,Apresiasi,Apresiasi,1,2
7,4D86826B-6F26-4D89-84A0-02D8D680C259,Peserta Liga PKM ITS,Lokal,Kelompok,2021-03-31,2023-12-22,2021-02-01,Liga PKM ITS 2021,Program Kreativitas Mahasiswa (PKM),Ditmawa ITS,Apresiasi,Apresiasi,1,2
8,53D97DDB-14C3-40D8-B1D5-056A4A57C122,Peserta Liga PKM ITS,Lokal,Kelompok,2021-03-10,2023-12-22,2021-03-02,Liga PKM ITS 2021,Program Kreativitas Mahasiswa (PKM),Institut Teknologi Sepuluh Nopember,Apresiasi,Apresiasi,1,2
9,DF5D5B95-8D76-4992-ADAB-0C086A098F19,Peserta Liga PKM ITS,Lokal,Individu,2021-03-21,2023-12-22,2021-03-02,Liga PKM ITS,Program Kreativitas Mahasiswa (PKM),ITS,Apresiasi,Apresiasi,1,2
10,9FA4EB91-68D6-4972-B6B7-20B491AC307E,Peserta Liga PKM ITS,Lokal,Kelompok,2021-03-17,2023-12-22,2021-02-08,LIGA PKM ITS 2021,Program Kreativitas Mahasiswa (PKM),Direktorat Kemahasiswaan ITS,Apresiasi,Apresiasi,1,2
11,E222D3B1-0496-443E-9B53-2853D8C6C13E,Peserta Liga PKM ITS,Lokal,Kelompok,2021-02-28,2023-12-22,2021-02-03,LIGA PKM ITS 2021,Program Kreativitas Mahasiswa (PKM),DITMAWA ITS,Apresiasi,Apresiasi,1,2
12,77BB4C44-F34C-4939-8C4E-2FCD9D2F1157,Upload proposal ke SIM BELMAWA,Lokal,Individu,2021-04-17,2023-12-22,2021-03-11,Liga PKM,Program Kreativitas Mahasiswa (PKM),Ksatria 10 Nopember dan Ditmawa ITS,Apresiasi,Apresiasi,1,2
13,B521A486-15F7-476F-BFF7-4292BDAD55A8,Peserta Liga PKM ITS,Lokal,Kelompok,2021-04-17,2023-12-22,2021-02-11,LIGA PKM ITS,Program Kreativitas Mahasiswa (PKM),Direktorat Kemahasiswaan ITS,Apresiasi,Apresiasi,1,2
14,62447608-FCFE-419E-82E4-478843B4B3E2,Peserta Liga PKM ITS,Lokal,Kelompok,2021-03-10,2023-12-22,2021-01-22,Liga PKM ITS 2021,Program Kreativitas Mahasiswa (PKM),Direktorat Kemahasiswaan ITS,Apresiasi,Apresiasi,1,2
